TexturePath,Status,SourceArt,OutputWidth,OutputHeight,ChangedPixelsOf1024,StructuralEdgeDeltaOf1024,AuthoredFeatures,Method
textures/block/mechanical_press_side.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/mechanical_press_side_generated_source_v2.png,32,32,896,478,timber load boards; iron perimeter; two reinforcement straps; coherent baked lighting; localized grime; lower hazard band,"Built-in integrated image generation using the processing concept plus supplied Last_Days_1.11R2 references; progressively reduced through 512/256/128/64/32px stages; final crisp reduction selected after side-by-side review; native alpha mask preserved"
textures/block/mechanical_press_top.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/mechanical_press_top_generated_source.png,32,32,1024,533,central ram-guide socket; layered compression rings; green maintenance grid; damaged cable bay; asymmetrical repairs,"Built-in integrated image generation using the processing concept plus supplied Last_Days_1.11R2 references; progressively reduced through 512/256/128/64/32px stages; three final edge treatments reviewed; crisp candidate selected"
textures/block/mechanical_press_bottom.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/mechanical_press_bottom_generated_source.png,32,32,1022,462,central ram passage; four converging load braces; scrape-polished guide lip; oxidized replacement brace; restrained warning plate,"Built-in integrated image generation using the processing concept plus supplied Last_Days_1.11R2 references; progressively reduced through 512/256/128/64/32px stages; three final edge treatments reviewed; crisp candidate selected"
textures/block/mechanical_press_head.png,AuthoredLastDaysGeneratedAtlasReduction,ROOT_tools/create_authored_sources/mechanical_press_head_generated_source.png,32,32,560,240,wrapped forged sidewall; chipped hazard segment; separate striking face; scrape-polished impact zone; compression scars,"Built-in integrated image generation produced a two-region master atlas; sidewall and striking face were cropped and reduced independently into native UV islands; three edge treatments reviewed; crisp candidate selected; native alpha preserved"
textures/block/mechanical_press_pole.png,AuthoredLastDaysGeneratedAtlasReduction,ROOT_tools/create_authored_sources/mechanical_press_pole_generated_source.png,32,32,926,410,battered outer sleeve; bright sliding piston; telescoping collar; repaired plate; warning segment; forged top cap,"Built-in integrated image generation produced a three-region master atlas; sleeve piston and cap were cropped and reduced independently into native UV islands; three edge treatments reviewed; crisp candidate selected; native alpha preserved"
textures/block/mixer_base_side.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/mixer_base_side_generated_source.png,32,32,892,529,timber motor bays; iron ribs; recessed vent/service band; hazard segment; repaired lower skirt; coherent housing light,"Built-in integrated image generation using completed press textures plus supplied Last Days references; compressed into the model's active upper 14/16 UV region through staged reduction; three edge treatments reviewed; crisp candidate selected; native unused rows preserved"
textures/block/mixer_head.png,AuthoredLastDaysGeneratedAtlasReduction,ROOT_tools/create_authored_sources/mixer_head_generated_source.png,32,32,551,313,open industrial beater; welded central spine; repaired working arm; bright drive shaft; collars; grease bands; hazard paint,"Built-in integrated image generation produced a transparent two-region cutout master; beater and shaft were cropped and reduced independently into their UV rectangles; generated silhouette retained; three edge treatments reviewed; crisp candidate selected"
textures/block/mechanical_saw_top.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/mechanical_saw_top_generated_source.png,32,32,1024,500,smoke-dark feed boards; central blade slot; polished guide lips; kerf scratches; hazard paint; repaired hold-down plates,"Built-in integrated image generation using completed Create family plus supplied Last Days references; progressively reduced through 512/256/128/64/32px stages; three edge treatments reviewed; crisp candidate selected"
textures/block/mechanical_saw_top_no_slot.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/mechanical_saw_top_no_slot_generated_source.png,32,32,1024,460,closed service cover; twin latches; repaired patch; feed scratches; sawdust seam; oil staining; hazard paint,"Built-in integrated image generation as a distinct closed saw face; progressively reduced through 512/256/128/64/32px stages; three edge treatments reviewed; crisp candidate selected"
textures/block/static_saw.png,AuthoredLastDaysGeneratedCutout,ROOT_tools/create_authored_sources/static_saw_generated_source.png,32,32,910,427,coarse cutting teeth; bolted hub; heat bluing; resin streaks; polished tips; welded replacement tooth,"Built-in integrated image generation produced a transparent circular blade master; progressively reduced through staged cutout-aware resizing; three edge treatments reviewed; generated alpha retained; crisp candidate selected"
textures/block/saw_reversed.png,AuthoredLastDaysGeneratedAnimation,ROOT_tools/create_authored_sources/static_saw_generated_source.png,32,96,2631,1271,three reverse-rotation frames using the authored blade; consistent hub teeth heat color and repaired tooth,"Three animation frames assembled from the generated static-saw artwork at 0/-8/-16 degrees; transparent silhouette retained; existing frametime metadata preserved"
textures/block/basin.png,AuthoredLastDaysGeneratedAtlasReduction,ROOT_tools/create_authored_sources/basin_generated_source.png,32,32,1024,405,repaired exterior wall; forged rim/base; stained interior wall; abraded drain floor; warning patch; derived base strip,"Built-in integrated image generation produced a four-region basin atlas; outer wall rim inner wall floor and base strip were cropped and reduced independently into exact UV regions; three edge treatments reviewed; crisp candidate selected"
textures/block/basin_canal.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/basin_canal_generated_source.png,32,32,1024,437,deep outflow mouth; worn flow trough; residue streaks; reinforced sidewall; hazard edge; recessed outlet,"Built-in integrated image generation produced one cohesive overlapping-UV canal atlas; progressively reduced through 512/256/128/64/32px stages; three edge treatments reviewed; crisp candidate selected"
textures/block/crushing_wheel_insert.png,AuthoredLastDaysGeneratedReduction,ROOT_tools/create_authored_sources/crushing_wheel_insert_generated_source.png,32,32,1008,527,forged central hub; eight strapped timber spoke bays; replaceable outer shoes; grease-packed joints; compression damage; restrained olive service ring,"Built-in integrated image generation used the native radial UV concept plus completed Last Days/Create textures; progressively reduced through 512/256/128/64/32px stages; three final edge treatments reviewed; crisp candidate selected"
