id,institution,class,title,spoiler_tier,placement,quest_critical,quest_hook,required_story_payload
LOR-001,VCF,Corporate,EVERCROP Cultivation Handbook,low,OWS-004,yes,FOOD FOR A BILLION,industrial cultivation efficiency and benign optimism
LOR-002,VCF,Technical,EP-7 Durability Trial Summary,mid,OWS-007,yes,THE PERIMETER NEVER EXISTED,durability traits were intentionally designed
LOR-003,VCF,Technical,PT-9 Symbiosis Report,mid,OWS-006,yes,THE PERFECT CROP,bacterial protection plus polymer-degradation observation
LOR-004,VCF,Technical,Persistence Incident 31,mid,OWS-008,no,THE GREY BLOOM,sterilized area later tests positive inside service joint
LOR-005,VCF,Corporate,Global Licensing Brief,mid,OWS-003/007,yes,THE PERIMETER NEVER EXISTED,Evercrop cultures had already been distributed widely
LOR-006,Atlas,Technical,Automated Transfer Maintenance Manual,low,OWS-010,yes,THEY WERE HERE FIRST,old world used recognizable automation principles
LOR-007,Atlas,Technical,Emergency Manual Bypass Order,mid,OWS-013,no,UNEXPECTED MAINTENANCE,automation increasingly depends on permanent repair crews
LOR-008,PolyCore,Technical,Seal Replacement Interval Board,mid,OWS-015,yes,UNEXPECTED MAINTENANCE,maintenance interval collapse
LOR-009,PolyCore,Technical,Elastomer Exposure Test 04,mid,OWS-016,no,UNEXPECTED MAINTENANCE,repeat biological degradation
LOR-010,PolyCore,Technical,Ceramic Isolation Result,high,OWS-018,yes,THE PERIMETER NEVER EXISTED,better barriers delay but do not cleanse contaminated facilities
LOR-011,PolyCore,Continuity-adjacent,Kel Material Integrity Summary,high,OWS-020,yes,THE PERIMETER NEVER EXISTED,organism is already on both sides of improved walls
LOR-012,Pleroma,Logistics,Cold-Chain Exception Log,mid,OWS-023,no,UNEXPECTED MAINTENANCE,refrigerated logistics failing through seals/materials
LOR-013,Pleroma,Logistics,EP-7 Cargo Certification,mid,OWS-026,yes,BOTH SIDES OF THE WALL,trade attempts to define clean agricultural cargo
LOR-014,Pleroma,Government notice,Port Closed by Emergency Authority,high,OWS-027,no,THE FIREBREAK WARS,final closure of a major distribution node
LOR-015,Aevum,Medical,APL Clinical Recovery Record,mid,OWS-030,yes,A CURE FOR AGE,APL benefits are real
LOR-016,Aevum,Corporate/medical,Aevum Longevity Brief,mid,OWS-029,yes,A CURE FOR AGE,healthy lifespan extension transforms society
LOR-017,Aevum,Medical,Supply Dependence Memorandum,high,OWS-031/033,no,CONTINUITY,patients and hospitals cannot abruptly stop APL therapy
LOR-018,Aevum,Continuity-adjacent,Orlov Dependency Memorandum,high,OWS-033,yes,CONTINUITY,why delay had human consequences
LOR-019,Helion,Technical,Insulation Service Log,mid,OWS-034,no,UNEXPECTED MAINTENANCE,small polymer failures cascade into grid maintenance
LOR-020,Helion,Emergency,Regional Outage Directive,high,OWS-037,no,FIREBREAK,power rationing and essential service priority
LOR-021,Blackglass,Encrypted,Civic Archive Cartridge,high,OWS-040,yes,Darknet return,"physical object first, readable content after Darknet"
LOR-022,Blackglass,Encrypted,Regional Archive Module,very_high,OWS-042,yes,THE FIREBREAK WARS,cross-agency communications reconstruct the crisis
LOR-023,Emergency Authority,Inspection,Quarantine Inspection Report,mid,OWS-044,no,BOTH SIDES OF THE WALL,local quarantine still buys time
LOR-024,Continuity,Analysis,The Perimeter Is Administrative,high,OWS-045/052,yes,BOTH SIDES OF THE WALL,visible clean boundary is not a biological boundary
LOR-025,Joint Research,Technical,Deep Containment Incident Record,high,OWS-047,yes,THE GREY BLOOM,infiltration through service infrastructure
LOR-026,Military,Operations,Containment Command Directive,high,OWS-048,yes,FIREBREAK,military faces a city it cannot evacuate or sterilize conventionally
LOR-027,Military,Operations,Firebreak Site 6 After-Action,high,OWS-049/050,yes,FIREBREAK,local sterilization declared successful
LOR-028,Continuity,Atmospheric,Do Not Burn Colonies,high,OWS-052,yes,STOP BURNING IT,mass burning amplifies long-range transport risk
LOR-029,Continuity Science,Atmospheric,Nineteen Kilometer Detection Record,very_high,OWS-051,yes,NINETEEN KILOMETERS,viable EP-7 and PT-9 association above nineteen kilometers
LOR-030,Continuity,Analysis,Distributed Reservoir Summary,very_high,OWS-053,yes,THE PERIMETER NEVER EXISTED,synthesizes multiple hidden reservoir classes
LOR-031,Civilian,Diary,Bridge Reopens Monday,mid,OWS-054/055,no,civilian,temporary closure becomes permanent
LOR-032,Civilian,Diary,Medication for Three Days,high,OWS-033/057,no,civilian,evacuation choice shaped by APL dependency
LOR-033,Municipal,Notice,School Relief Distribution Record,low,OWS-059,no,FOOD FOR A BILLION,Evercrop as emergency food success
LOR-034,Asterion,Operations,Launch Support Manifest,high,OWS-060,no,space transition,specialized cargo and evacuation priority
LOR-035,Asterion,Mission,Orbital Contact Record,very_high,OWS-062,yes,space transition,off-world facilities remain in contact after terrestrial fragmentation
LOR-036,Asterion,Mission,Primary Launch Archive,very_high,OWS-064,yes,final terrestrial transition,launch history and unresolved fate of off-world populations
