ItemId,Family,FinalTexture,GeneratedMaster,FinalSize,ArtDirection,Workflow
aerospace_aluminum_sheet,structure,kubejs/assets/kubejs/textures/item/space_industry/aerospace_aluminum_sheet.png,ROOT_tools/space_industry_authored_sources/aerospace_aluminum_sheet_generated_source.png,128x128,"stacked formed light-alloy skin panels; stamped stiffening ribs; countersunk mounting holes; clipped inspection notch; restrained blue inspection paint","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
desh_titanium_laminate,structure,kubejs/assets/kubejs/textures/item/space_industry/desh_titanium_laminate.png,ROOT_tools/space_industry_authored_sources/desh_titanium_laminate_generated_source.png,128x128,"thick layered pressure stock; alternating titanium and Desh alloy skins; charcoal bonded core; keyed edge; recessed fasteners","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
structural_truss,structure,kubejs/assets/kubejs/textures/item/space_industry/structural_truss.png,ROOT_tools/space_industry_authored_sources/structural_truss_generated_source.png,128x128,"open triangular launch-frame lattice; four load rails; welded braces; square end nodes; repair collar; transparent negative space","Built-in image generation plus targeted background-extraction edit after the first pass baked a checkerboard; alpha verified; visible bounds cropped; Lanczos reduction to 128px"
reinforced_frame,structure,kubejs/assets/kubejs/textures/item/space_industry/reinforced_frame.png,ROOT_tools/space_industry_authored_sources/reinforced_frame_generated_source.png,128x128,"heavy square mounting ring; open central aperture; corner load nodes; layered perimeter rails; gussets; service sockets","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
pressure_bulkhead,structure,kubejs/assets/kubejs/textures/item/space_industry/pressure_bulkhead.png,ROOT_tools/space_industry_authored_sources/pressure_bulkhead_generated_source.png,128x128,"sealed octagonal pressure divider; concentric strengthening rings; radial ribs; gasket layers; dogged service hatch; patched plate","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
telemetry_array,avionics,kubejs/assets/kubejs/textures/item/space_industry/telemetry_array.png,ROOT_tools/space_industry_authored_sources/telemetry_array_generated_source.png,128x128,"folded directional telemetry assembly; central transceiver; parabolic antenna; paired antenna panels; cable runs; shock mounts","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
ablative_panel,thermal,kubejs/assets/kubejs/textures/item/space_industry/ablative_panel.png,ROOT_tools/space_industry_authored_sources/ablative_panel_generated_source.png,128x128,"charred carbon-ceramic face; exposed sacrificial underlayer; layered edge; backing frame; recessed fasteners and mounting lugs","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
structural_parts_crate,logistics,kubejs/assets/kubejs/textures/item/space_industry/structural_parts_crate.png,ROOT_tools/space_industry_authored_sources/structural_parts_crate_generated_source.png,128x128,"long low reinforced transit crate; visible truss segments and gussets; tension straps; lifting sockets; ochre structural marks","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
life_support_crate,logistics,kubejs/assets/kubejs/textures/item/space_industry/life_support_crate.png,ROOT_tools/space_industry_authored_sources/life_support_crate_generated_source.png,128x128,"upright sealed insulated case; protected atmospheric regulator and filter hardware; hermetic latches; muted safety-green equipment panels","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
avionics_crate,logistics,kubejs/assets/kubejs/textures/item/space_industry/avionics_crate.png,ROOT_tools/space_industry_authored_sources/avionics_crate_generated_source.png,128x128,"open shock-isolated electronics case; organized circuit trays and connector banks; rubber dampers; restrained blue service bands","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
propellant_equipment_crate,logistics,kubejs/assets/kubejs/textures/item/space_industry/propellant_equipment_crate.png,ROOT_tools/space_industry_authored_sources/propellant_equipment_crate_generated_source.png,128x128,"hazard-rated servicing case; secured valve manifold; braided hoses; couplings; pressure gauge; orange hazard bands","Built-in image generation; genuine transparent master; visible bounds cropped; safe margin fitted; Lanczos reduction to 128px"
